DÃ­a,GDD_Acumulado,Tmax,Tmin,Altura (cm),LAI (m2/m2),Luz_Interceptada (f),ET_Diaria (mm),BBCH
1,12.3,28.12,12.48,7.19,0.14,0.08,0.13,10 - Emergencia/Inicio de Hoja
2,18.96,19.61,9.71,9.86,0.23,0.13,0.28,10 - Emergencia/Inicio de Hoja
3,31.72,29.47,12.04,16.65,0.49,0.26,0.48,10 - Emergencia/Inicio de Hoja
4,36.81,16.37,9.83,20.0,0.64,0.32,0.8,10 - Emergencia/Inicio de Hoja
5,46.36,21.46,13.64,27.19,0.97,0.44,0.74,10 - Emergencia/Inicio de Hoja
6,56.16,26.17,9.43,35.72,1.38,0.56,1.53,10 - Emergencia/Inicio de Hoja
7,63.08,24.82,5.01,42.33,1.7,0.64,1.76,10 - Emergencia/Inicio de Hoja
8,71.5,20.29,12.55,50.9,2.12,0.72,2.42,10 - Emergencia/Inicio de Hoja
9,83.08,27.66,11.49,63.3,2.71,0.8,2.79,10 - Emergencia/Inicio de Hoja
10,94.3,29.09,9.36,75.65,3.28,0.86,3.79,10 - Emergencia/Inicio de Hoja
11,103.07,23.91,9.62,85.28,3.7,0.89,4.6,10 - Emergencia/Inicio de Hoja
12,111.16,19.93,12.25,94.01,4.07,0.91,3.73,10 - Emergencia/Inicio de Hoja
13,123.36,29.87,10.53,106.65,4.58,0.94,4.52,10 - Emergencia/Inicio de Hoja
14,135.7,26.98,13.71,118.61,5.03,0.95,4.91,10 - Emergencia/Inicio de Hoja
15,144.3,22.63,10.58,126.36,5.3,0.96,6.05,10 - Emergencia/Inicio de Hoja
16,154.16,24.8,10.91,134.59,5.57,0.96,4.55,10 - Emergencia/Inicio de Hoja
17,158.54,16.07,8.69,138.02,5.67,0.97,4.78,10 - Emergencia/Inicio de Hoja
18,168.12,29.53,5.64,145.05,5.89,0.97,4.87,10 - Emergencia/Inicio de Hoja
19,175.65,17.68,13.38,150.11,6.03,0.97,7.06,10 - Emergencia/Inicio de Hoja
20,184.44,21.11,12.47,155.53,6.18,0.98,6.48,10 - Emergencia/Inicio de Hoja
21,194.87,27.21,9.66,161.3,6.32,0.98,6.79,10 - Emergencia/Inicio de Hoja
22,204.09,23.8,10.63,165.84,6.43,0.98,6.56,10 - Emergencia/Inicio de Hoja
23,213.28,19.42,14.97,169.89,6.53,0.98,6.82,10 - Emergencia/Inicio de Hoja
24,219.94,23.76,5.56,172.55,6.58,0.98,7.47,10 - Emergencia/Inicio de Hoja
25,224.18,15.54,8.94,174.12,6.62,0.98,5.07,10 - Emergencia/Inicio de Hoja
26,229.93,21.3,6.2,176.13,6.66,0.98,6.94,10 - Emergencia/Inicio de Hoja
27,237.61,16.73,14.62,178.58,6.7,0.98,7.62,10 - Emergencia/Inicio de Hoja
28,242.77,20.57,5.75,180.09,6.73,0.98,7.64,10 - Emergencia/Inicio de Hoja
29,253.7,24.14,13.73,182.97,6.78,0.98,8.09,10 - Emergencia/Inicio de Hoja
30,263.48,21.5,14.06,185.21,6.82,0.98,7.54,10 - Emergencia/Inicio de Hoja
31,269.69,21.3,7.12,186.48,6.84,0.98,6.75,10 - Emergencia/Inicio de Hoja
32,274.83,15.62,10.66,187.45,6.86,0.98,7.13,10 - Emergencia/Inicio de Hoja
33,286.51,29.07,10.29,189.41,6.89,0.98,5.74,10 - Emergencia/Inicio de Hoja
34,296.05,25.92,9.16,190.79,6.91,0.98,6.1,10 - Emergencia/Inicio de Hoja
35,303.08,21.88,8.19,191.69,6.92,0.98,8.31,10 - Emergencia/Inicio de Hoja
36,305.93,16.37,5.32,192.03,6.92,0.98,5.43,10 - Emergencia/Inicio de Hoja
37,312.59,15.48,13.83,192.78,6.93,0.98,7.25,10 - Emergencia/Inicio de Hoja
38,319.62,16.87,13.18,193.49,6.94,0.98,7.96,10 - Emergencia/Inicio de Hoja
39,328.18,23.84,9.27,194.26,6.95,0.98,6.48,10 - Emergencia/Inicio de Hoja
40,336.57,20.71,12.07,194.93,6.96,0.98,7.4,10 - Emergencia/Inicio de Hoja
41,342.81,18.97,9.51,195.38,6.96,0.98,5.32,10 - Emergencia/Inicio de Hoja
42,349.55,24.28,5.2,195.82,6.97,0.98,7.89,10 - Emergencia/Inicio de Hoja
43,361.15,28.39,10.81,196.48,6.97,0.98,6.91,10 - Emergencia/Inicio de Hoja
44,372.05,29.23,8.56,197.01,6.98,0.98,7.85,10 - Emergencia/Inicio de Hoja
45,379.37,21.5,9.13,197.32,6.98,0.98,8.07,10 - Emergencia/Inicio de Hoja
46,387.14,19.99,11.56,197.61,6.98,0.98,7.28,10 - Emergencia/Inicio de Hoja
47,393.18,22.03,6.04,197.82,6.99,0.98,5.55,10 - Emergencia/Inicio de Hoja
48,406.58,29.78,13.02,198.21,6.99,0.98,8.54,10 - Emergencia/Inicio de Hoja
49,416.12,20.6,14.48,198.45,6.99,0.98,7.21,10 - Emergencia/Inicio de Hoja
50,426.39,28.88,7.67,198.67,6.99,0.98,7.6,10 - Emergencia/Inicio de Hoja
51,436.86,28.0,8.93,198.86,6.99,0.98,6.7,10 - Emergencia/Inicio de Hoja
52,446.97,27.18,9.04,199.02,7.0,0.98,6.64,10 - Emergencia/Inicio de Hoja
53,455.61,21.62,11.65,199.14,7.0,0.98,6.42,10 - Emergencia/Inicio de Hoja
54,465.6,29.51,6.48,199.26,7.0,0.98,8.06,10 - Emergencia/Inicio de Hoja
55,472.88,18.55,12.02,199.34,7.0,0.98,5.55,10 - Emergencia/Inicio de Hoja
56,482.83,25.85,10.05,199.43,7.0,0.98,7.24,10 - Emergencia/Inicio de Hoja
57,494.4,24.26,14.88,199.52,7.0,0.98,6.77,10 - Emergencia/Inicio de Hoja
58,499.43,15.37,10.67,199.55,7.0,0.98,6.64,10 - Emergencia/Inicio de Hoja
59,508.41,22.43,11.54,199.61,7.0,0.98,5.55,30 - Desarrollo de Tallo/Macollamiento
60,518.4,27.67,8.31,199.66,7.0,0.98,6.82,30 - Desarrollo de Tallo/Macollamiento
61,520.77,15.1,5.64,199.68,7.0,0.98,7.41,30 - Desarrollo de Tallo/Macollamiento
62,530.39,20.33,14.93,199.72,7.0,0.98,5.6,30 - Desarrollo de Tallo/Macollamiento
63,535.18,15.18,10.4,199.74,7.0,0.98,8.62,30 - Desarrollo de Tallo/Macollamiento
64,544.55,22.63,12.1,199.77,7.0,0.98,6.33,30 - Desarrollo de Tallo/Macollamiento
65,547.13,15.03,6.13,199.78,7.0,0.98,5.8,30 - Desarrollo de Tallo/Macollamiento
66,557.67,25.03,12.05,199.81,7.0,0.98,5.58,30 - Desarrollo de Tallo/Macollamiento
67,570.76,29.28,12.91,199.85,7.0,0.99,5.33,30 - Desarrollo de Tallo/Macollamiento
68,578.9,17.33,14.95,199.86,7.0,0.99,8.54,30 - Desarrollo de Tallo/Macollamiento
69,581.91,15.95,6.05,199.87,7.0,0.99,7.56,30 - Desarrollo de Tallo/Macollamiento
70,587.4,15.36,11.64,199.88,7.0,0.99,6.51,30 - Desarrollo de Tallo/Macollamiento
71,598.51,28.07,10.14,199.9,7.0,0.99,7.46,30 - Desarrollo de Tallo/Macollamiento
72,606.99,23.67,9.3,199.91,7.0,0.99,6.77,30 - Desarrollo de Tallo/Macollamiento
73,611.18,15.58,8.8,199.92,7.0,0.99,8.29,30 - Desarrollo de Tallo/Macollamiento
74,620.3,25.7,8.52,199.93,7.0,0.99,5.73,30 - Desarrollo de Tallo/Macollamiento
75,631.28,26.07,11.88,199.94,7.0,0.99,6.08,30 - Desarrollo de Tallo/Macollamiento
76,639.99,23.58,9.85,199.95,7.0,0.99,7.2,30 - Desarrollo de Tallo/Macollamiento
77,650.67,26.15,11.2,199.95,7.0,0.99,7.82,30 - Desarrollo de Tallo/Macollamiento
78,658.85,24.02,8.34,199.96,7.0,0.99,6.66,30 - Desarrollo de Tallo/Macollamiento
79,670.67,28.04,11.6,199.97,7.0,0.99,6.27,30 - Desarrollo de Tallo/Macollamiento
80,680.69,21.48,14.54,199.97,7.0,0.99,8.1,30 - Desarrollo de Tallo/Macollamiento
81,687.6,23.29,6.53,199.97,7.0,0.99,7.41,30 - Desarrollo de Tallo/Macollamiento
82,692.57,18.83,7.12,199.98,7.0,0.99,7.09,30 - Desarrollo de Tallo/Macollamiento
83,701.92,24.94,9.76,199.98,7.0,0.99,8.24,30 - Desarrollo de Tallo/Macollamiento
84,714.71,29.14,12.44,199.98,7.0,0.99,7.24,30 - Desarrollo de Tallo/Macollamiento
85,725.73,26.3,11.75,199.99,7.0,0.99,8.41,30 - Desarrollo de Tallo/Macollamiento
86,732.62,23.08,6.69,199.99,7.0,0.99,6.46,30 - Desarrollo de Tallo/Macollamiento
87,738.53,22.16,5.66,199.99,7.0,0.99,8.61,30 - Desarrollo de Tallo/Macollamiento
88,745.4,16.54,13.19,199.99,7.0,0.99,7.81,30 - Desarrollo de Tallo/Macollamiento
89,750.64,17.18,9.3,199.99,7.0,0.99,5.99,30 - Desarrollo de Tallo/Macollamiento
90,760.9,29.34,7.2,199.99,7.0,0.99,5.98,30 - Desarrollo de Tallo/Macollamiento
